,振声苑e,振声苑s,振声苑n,振声苑w,华岗苑e,华岗苑w,华岗苑n,华岗苑s,第周苑a,第周苑b,第周苑c,第周苑d,第周苑e,第周苑f,淦昌苑a,淦昌苑b,淦昌苑c,淦昌苑d,淦昌苑e,淦昌苑f,会文南,会文北,s2宿舍,曦园,晨园,体育馆,博物馆,图书馆,红操场,蓝操场,双创,专家公寓2号楼
振声苑e,0.0,77.32,77.32,89.75,199.74,222.8,262.84,167.57,116.67,219.92,372.13,503.08,365.12,231.13,226.92,325.56,439.81,536.83,403.6,280.33,523.89,628.59,546.16,587.97,1231.85,432.08,193.91,437.95,447.0,185.53,853.43,722.68
振声苑s,77.32,0.0,110.97,66.08,260.84,259.14,310.83,211.03,179.32,287.17,436.17,557.44,413.0,278.22,302.05,402.81,516.39,607.64,474.85,356.28,600.29,705.87,552.21,605.76,1287.7,364.16,165.76,511.31,463.57,108.75,830.64,725.75
振声苑n,77.32,110.97,0.0,66.08,153.98,151.07,199.94,100.27,179.32,269.47,421.82,561.84,430.51,299.53,216.58,328.75,455.58,572.15,439.84,304.06,539.81,628.35,623.43,663.95,1176.79,473.0,263.33,415.67,523.45,209.39,927.3,799.99
振声苑w,89.75,66.08,66.08,0.0,218.98,199.94,256.64,157.67,206.42,308.36,461.07,592.76,453.66,318.98,280.86,390.78,514.12,621.65,488.48,358.5,598.52,692.02,614.19,663.9,1233.81,413.02,231.75,481.74,521.83,146.75,896.7,788.77
华岗苑e,199.74,260.84,153.98,218.98,0.0,98.72,83.82,76.92,231.32,265.57,395.23,549.41,446.99,339.82,107.7,219.92,356.29,502.71,381.0,237.53,436.16,498.84,699.21,720.13,1032.14,624.98,390.96,268.54,588.29,363.24,1036.39,875.25
华岗苑w,222.8,259.14,151.07,199.94,98.72,0.0,66.08,57.09,293.75,350.43,488.47,640.96,529.56,411.74,206.42,317.23,453.65,601.41,478.89,335.02,532.23,584.7,759.35,789.95,1035.14,611.37,414.08,342.49,653.24,344.46,1076.23,936.39
华岗苑n,262.84,310.83,199.94,256.64,83.82,66.08,0.0,99.87,312.02,349.08,474.84,629.8,530.55,423.1,179.32,278.44,412.98,569.31,453.54,312.55,487.79,528.5,780.75,803.5,977.53,669.65,456.74,282.0,670.77,403.09,1111.58,957.17
华岗苑s,167.57,211.03,100.27,157.67,76.92,57.09,99.87,0.0,237.39,299.53,442.21,592.63,476.64,356.28,176.2,292.04,427.49,566.39,439.9,296.17,508.92,575.67,702.29,733.56,1077.3,570.46,360.46,343.97,596.44,304.41,1020.63,879.33
第周苑a,116.67,179.32,179.32,206.42,231.32,293.75,312.02,237.39,0.0,108.24,257.35,386.56,251.3,121.15,199.94,263.33,354.08,429.55,297.57,194.29,435.49,557.06,468.78,496.21,1239.05,481.38,201.84,404.39,360.07,274.34,808.7,645.37
第周苑b,219.92,287.17,269.47,308.36,265.57,350.43,349.08,299.53,108.24,0.0,152.98,294.81,181.48,100.27,189.03,199.74,259.57,321.39,189.92,112.41,336.95,469.48,458.29,463.51,1210.04,574.03,288.76,356.9,342.28,381.91,826.0,628.93
第周苑c,372.13,436.17,421.82,461.07,395.23,488.47,474.84,442.21,257.35,152.98,0.0,155.43,122.39,181.48,297.57,242.62,211.6,189.35,89.23,167.62,260.84,414.09,433.6,405.53,1237.92,685.43,404.96,392.24,321.93,524.19,821.2,583.86
第周苑d,503.08,557.44,561.84,592.76,549.41,640.96,629.8,592.63,386.56,294.81,155.43,0.0,150.3,280.21,452.98,391.67,326.37,210.83,208.55,322.51,342.56,494.89,371.06,311.22,1357.66,746.26,487.05,531.22,283.23,631.19,754.01,488.33
第周苑e,365.12,413.0,430.51,453.66,446.99,529.56,530.55,476.64,251.3,181.48,122.39,150.3,0.0,135.08,366.16,342.28,333.02,292.84,211.6,255.03,382.48,536.33,312.77,294.47,1351.91,601.67,337.01,499.43,199.74,481.98,699.31,469.36
第周苑f,231.13,278.22,299.53,318.98,339.82,411.74,423.1,356.28,121.15,100.27,181.48,280.21,135.08,0.0,280.63,299.74,345.46,370.14,251.34,211.03,416.03,557.66,364.19,380.4,1309.81,504.95,223.5,457.17,250.15,352.41,726.39,538.03
淦昌苑a,226.92,302.05,216.58,280.86,107.7,206.42,179.32,176.2,199.94,189.03,297.57,452.98,366.16,280.63,0.0,116.48,251.3,395.04,274.9,133.26,333.14,411.81,644.54,652.53,1039.6,656.66,393.43,212.25,529.49,410.7,1002.25,816.99
淦昌苑b,325.56,402.81,328.75,390.78,219.92,317.23,278.44,292.04,263.33,199.74,242.62,391.67,342.28,299.74,116.48,0.0,136.44,292.5,189.92,90.57,216.89,303.08,646.81,636.75,1014.78,742.39,465.15,159.45,530.26,510.99,1022.63,810.61
